word,gender,age,tier
欧美风,F,18,T1
七分袖,F,24,T2
堆堆领,F,52,T3
呢大衣,F,36,T1
违带裤,F,17,T2
橄榄领,F,43,T3
衬衫,F,32,T1
韩版,F,61,T2
工装靴裤,F,32,T3
字母,F,56,T1
披肩,F,35,T2
羊绒衫,F,23,T3
毛织开衫,F,43,T1
连衣裤,F,22,T2
风衣款,F,23,T3
卫衣长款,F,21,T1
兔绒皮草,F,16,T2
违带裤,F,22,T3
豹纹皮草马甲,F,25,T1
短款,F,28,T2
羽卫生裤,F,34,T3
白的色彩,F,37,T1
马甲款,F,43,T2
碎花,F,38,T3
娃娃领,F,50,T1
加厚棉马甲,F,21,T2
短款,F,30,T3
直筒裤,F,31,T1
喇叭裤,F,23,T2
褶皱,F,22,T3
休闲,F,34,T1
西装裙套装,F,25,T2
两件套,F,24,T3
圆领,F,21,T1
短裙,F,33,T2
石墨笔裤,F,36,T3
小西装,F,40,T1
小拖尾,F,43,T2
经典格子,F,23,T3
字母,F,35,T1
灯笼裤,F,36,T2
工装裤,F,19,T3
连衣裤,F,20,T1
打底裙,F,24,T2
锥形裤,F,16,T3
仿牛仔,F,28,T1
保温裤,F,27,T2
衬衫七分袖,F,36,T3
宽松裤,F,38,T1
修身裤,F,34,T2
跨腿库,F,22,T3
披肩款,F,26,T1
修身,F,29,T2
通勤,F,26,T3
毛呢面料,F,18,T1
休闲长裤,F,15,T2
蕾丝吊带,F,20,T3
堆堆领,F,24,T1
磨白,F,16,T2
